ZIP,SALE_PRICE,TOTAL_UNITS,GROSS_SQUARE_FEET,LAT,LNG
02116,150.00,0,,42.34402060645204,-71.0742996276532
02131,57.00,1,,42.281941832424685,-71.13337190191741
02130,110.00,1,,42.318422553936024,-71.105505307545
02118,179.00,1,,42.345790453343284,-71.06343694207713
02116,250.00,1,,42.346673787807084,-71.07549847242363
02118,229.00,1,,42.34428881964325,-71.06304997042761
02118,250.00,1,,42.34193791016164,-71.07873717795975
02118,89.00,1,,42.33937306272558,-71.07480099017607
02118,80.00,1,,42.34610947356793,-71.06348825798175
02118,119.00,1,,42.33608007227669,-71.07425896492398
02118,140.00,1,,42.342217614965705,-71.06976148628465
02116,84.00,1,,42.34714203274801,-71.07442764918473
02118,700.00,2,,42.3440320608932,-71.07408004988412
02130,250.00,3,,42.311852721337,-71.10926318625519
02118,250.00,2,,42.3433845137132,-71.06881167812554
02118,200.00,2,,42.34075399526022,-71.08183367653695
02118,99.00,1,,42.336790182851516,-71.07545931453197
02118,150.00,2,,42.33971998113592,-71.07510804361488
02118,119.00,1,,42.3397545430106,-71.07900429883712
02118,300.00,2,,42.33865083495421,-71.07058959947231
02116,170.00,1,,42.344206197926745,-71.07222801800599
02118,269.00,,,42.34179689334264,-71.07819514226416
02118,170.00,1,,42.342858049101935,-71.07339304532253
02116,100.00,1,,42.34560256185624,-71.07571070452711
02130,150.00,2,,42.317370192680336,-71.11485898821759
02116,135.00,1,,42.34495654198742,-71.07485746185634
02118,159.00,1,,42.341504551057525,-71.08087505967704
02118,250.00,2,,42.336832594946884,-71.06949729685238
02118,225.00,1,,42.33947728985138,-71.0793802565534
02118,75.00,1,,42.34105938439816,-71.08073924259249
02118,144.00,0,,42.34242389811297,-71.07909612860908
02118,170.00,0,,42.3453930785548,-71.06303905951947
02118,120.00,1,,42.34306172286721,-71.07275113869639
02118,139.00,1,,42.33914265660413,-71.07978997672878
02116,147.00,0,,42.34362445699148,-71.07729754504166
02130,300.00,3,,42.30704884694953,-71.1166241277204
02118,217.00,1,,42.34179502464755,-71.07566431880907
02116,95.00,1,,42.34675815220524,-71.07416682165584
02118,225.00,,,42.34320988189416,-71.07776036316244
02118,200.00,1,,42.340550916807544,-71.07510738195886
02118,189.00,0,,42.34339888479836,-71.07888540346383
02116,150.00,0,,42.34369552432539,-71.07810031710834
02118,279.00,2,,42.3372339026448,-71.0697730547217
02116,135.00,1,,42.346436512306994,-71.07480755845374
02116,200.00,1,,42.34485438176257,-71.07276955097228
02118,240.00,2,,42.33960911395865,-71.07998675927278
02130,119.00,0,,42.30906284664378,-71.1114197330592
02116,77.00,1,,42.34650892135457,-71.07337174856316
02118,160.00,0,,42.34188979998796,-71.07254314770427
02118,195.00,1,,42.34121174361634,-71.0795507455907
02118,175.00,1,,42.33943485166942,-71.08005787284273
02116,150.00,1,,42.347031978136194,-71.06957015026913
02116,228.00,1,,42.345946575561904,-71.07724667518733
02118,145.00,1,450,42.338434491106874,-71.07684758696394
02118,89.00,1,,42.336760458154714,-71.07576188649263
02118,238.00,2,,42.34426013201698,-71.06652566121373
02118,161.00,1,,42.33716831362333,-71.0749956875594
02130,175.00,0,,42.308836939839665,-71.11935092313678
,149.00,1,,42.34442714881363,-71.06408580697922
02118,300.00,2,,42.3433555536779,-71.06571608927693
02118,177.00,2,,42.344373078716885,-71.06457653067582
02118,185.00,1,,42.34414714107277,-71.07272570198928
02118,240.00,1,,42.342782018373995,-71.07685953536495
02118,225.00,1,,42.342334596351975,-71.07311989062913
02118,125.00,1,,42.33831659589648,-71.07690856396708
02118,175.00,1,,42.33986228780994,-71.07766733289968
02116,150.00,2,,42.34531492337171,-71.07496560667472
02118,122.00,0,,42.34076181577172,-71.08022287878724
02130,195.00,2,,42.31923482819862,-71.10501593588093
02118,125.00,1,,42.34494301766899,-71.06745954101547
02118,325.00,1,,42.33594761717578,-71.0751658937791
02116,170.00,1,,42.34685534038649,-71.07214127361344
02116,160.00,1,,42.34476411937273,-71.07276299016534
02118,199.00,2,,42.340423123796825,-71.07512874452547
02118,160.00,2,,42.33857762791107,-71.06929003595755
02118,200.00,1,,42.34175231690292,-71.07533351392034
02118,200.00,2,,42.34099239012987,-71.08019689079354
02116,150.00,0,,42.34529647641143,-71.0774881773436
02118,350.00,2,,42.34124312129233,-71.06691067139784
02130,145.00,2,,42.30606393566502,-71.11516053902132
02116,139.00,1,,42.34494492926521,-71.07599093732362
02118,80.00,0,,42.33825951176984,-71.0709154570732
02116,215.00,1,,42.345078825964585,-71.07740009533862
02116,130.00,1,340,42.34522988307238,-71.07282284007427
02116,183.00,1,,42.34643269471023,-71.07091582400858
02118,188.00,2,,42.339364709669525,-71.07942867270435
02118,215.00,1,,42.34344057931448,-71.07737512203143
02118,75.00,1,,42.33538409043661,-71.07521683508621
02118,45.00,1,,42.34310593315024,-71.06896984690702
02116,125.00,1,,42.34606839151711,-71.07646139208379
02130,200.00,2,,42.30398160452899,-71.11848461147697
02116,290.00,2,,42.34663651268857,-71.07398974952609
02116,215.00,1,,42.34450691880606,-71.07389618778238
02118,255.00,1,,42.34403615392444,-71.07889172563182
02118,300.00,1,,42.34197616045519,-71.08127587091947
02218,169.00,1,,42.33477501754106,-71.07437567422855
02116,140.00,1,,42.345352029176055,-71.07355081681293
02118,250.00,1,,42.34045937363567,-71.08035799061796
02116,155.00,0,,42.344185931425514,-71.0760851701464
02116,200.00,2,,42.344140993510656,-71.07226296920035
02118,119.00,1,,42.340368187394276,-71.08015135949631
02130,90.00,1,,42.314827484606575,-71.11295481151114
02118,189.00,1,,42.340986953401995,-71.07972834630348
02116,250.00,1,,42.34707085326683,-71.07246978523966
02116,254.00,1,,42.34709172616311,-71.07430618997331
02116,225.00,2,,42.34558425973548,-71.07668643519288
02116,137.00,0,,42.34399514430829,-71.07656683740848
02116,146.00,0,,42.34474482784281,-71.07705983965717
02118,199.00,1,450,42.34312857447157,-71.08114078745442
02116,190.00,1,,42.34474517673787,-71.07025685651887
02118,249.00,1,,42.34137191143299,-71.0694957459258
02116,150.00,0,,42.345028030265254,-71.07666326608363
02131,93.00,2,,42.29172341146307,-71.13155602161845
02130,210.00,2,,42.3048433293264,-71.10627115826995
02116,106.00,0,,42.34376716995201,-71.07493705450555
02116,200.00,1,,42.34717117812328,-71.07129740210965
02116,99.00,1,,42.34384167237561,-71.0700746883121
02118,139.00,1,,42.341630055485524,-71.07388633098988
02118,175.00,0,,42.34066934297081,-71.07689917005895
02118,200.00,1,,42.34140859449171,-71.08173066438553
02118,450.00,2,,42.34293632942857,-71.07345338392714
02116,165.00,0,,42.34661693742443,-71.07387660058951
02118,250.00,2,,42.33830139487766,-71.07794455451216
02118,350.00,1,,42.33937086229982,-71.08025759344305
02130,75.00,1,,42.31337132584918,-71.11089129130822
02118,295.00,1,920,42.34191276179271,-71.07153788949805
02118,199.00,1,,42.33627763773672,-71.07431077125244
,299.00,1,,42.33838120920071,-71.07496368669906
02118,130.00,1,,42.345554754854646,-71.0615748419913
02119,160.00,1,630,42.33982700547539,-71.07419475613311
02118,250.00,1,,42.340331495073336,-71.08041359860917
02116,220.00,1,,42.34592824984945,-71.0739802341601
02116,150.00,0,,42.34364179499233,-71.07572452164457
02118,280.00,2,,42.33813925793134,-71.0756268168095
02116,150.00,0,,42.343679706264815,-71.07700348905996
